,silhouette_scores,davies_bouldin_scores,calinski_harabasz_scores
2,0.9986457855954993,0.2786293300243898,106797.83628978906
3,0.997940135923708,0.3303031473716058,272345.39931255236
4,0.9977050194897645,0.4372078283712032,321845.245376242
5,0.997283505701036,0.3288261371396305,379437.28519789374
6,0.9972831778045049,0.2521251278262097,458407.0164161171
7,0.9972806158700285,0.1895074444308534,551544.3064449376
8,0.9517296151515666,0.4207668070470469,560677.4312629208
9,0.9516719444355798,0.37350468929621816,539024.2347533137
10,0.9320094781522216,0.5436639903837756,512665.5302394249
11,0.9113109614501699,0.5805347506118106,496631.4342846824
12,0.9253148617751695,0.4517571321553797,482847.9388700576
13,0.9332903065702035,0.48444958902731383,469512.3891939095
14,0.9321242064848135,0.5589110652842996,458430.3409761881
15,0.8384852319803683,0.6730399072893037,445789.96868507663
16,0.7900727313961846,0.7485282200324749,440718.1451461006
17,0.7407010031189962,0.8283043076940068,428521.21562235523
18,0.6675500331218601,0.8622199029816606,414479.56012466113
19,0.6573972557361516,0.8600048697109874,406916.9269681205
20,0.7759792890660469,0.7200134574410433,396661.2648859203
